Product ID,Date,Store ID,Sales Quantity,Price,Promotions,Seasonality Factors,External Factors,Demand Trend,Customer Segments,Day,Month,Year,Predicted Sales Quantity,High Demand
9493,2024-01-05,19,499,51.59,1,0,0,1,0,5,1,2024,502.7326,True
4059,2024-06-20,48,498,13.44,0,0,2,0,0,20,6,2024,498.4592,True
1589,2024-01-03,18,490,5.92,1,1,0,2,0,3,1,2024,491.85532,True
6148,2024-03-06,65,489,76.23,0,1,1,0,1,6,3,2024,491.4223,True
1508,2024-12-05,96,479,29.49,0,0,1,1,1,5,12,2024,491.1935,True
6308,2024-02-29,40,482,8.1,0,1,1,0,1,29,2,2024,487.18512,True
7319,2024-01-02,74,484,69.6,1,0,0,0,1,2,1,2024,487.03394,True
8146,2024-03-04,77,499,43.02,1,1,2,2,1,4,3,2024,486.51587,True
3624,2024-07-01,18,463,87.53,1,1,1,2,1,1,7,2024,485.47638,True
7558,2024-12-04,4,76,51.62,0,1,0,0,2,4,12,2024,484.5665,True
6082,2024-12-10,51,483,96.99,0,0,2,0,2,10,12,2024,483.57336,True
3012,2024-06-25,49,19,9.23,0,0,0,0,1,25,6,2024,483.48724,True
3271,2024-09-02,9,480,9.12,1,1,0,1,0,2,9,2024,482.47702,True
1993,2024-12-22,21,497,97.42,1,1,0,0,0,22,12,2024,481.46594,True
4211,2024-02-19,52,447,25.98,0,1,0,2,0,19,2,2024,480.10675,True
4961,2024-09-18,99,498,42.27,0,0,0,1,0,18,9,2024,479.51334,True
8990,2024-05-28,97,492,26.49,0,0,0,1,1,28,5,2024,475.09833,True
6690,2024-05-05,99,453,76.37,0,1,0,0,0,5,5,2024,471.8629,True
9976,2024-02-08,96,473,63.76,1,0,0,1,1,8,2,2024,471.2615,True
2499,2024-02-11,68,499,52.78,1,1,0,1,0,11,2,2024,469.1749,True
4233,2024-02-01,38,478,17.2,0,1,1,1,1,1,2,2024,468.39514,True
4392,2024-12-21,79,475,8.93,0,1,1,1,2,21,12,2024,468.26813,True
5008,2024-06-14,2,490,99.91,1,1,1,0,0,14,6,2024,466.52234,True
2721,2024-12-04,8,494,95.62,0,1,1,0,0,4,12,2024,466.1624,True
4200,2024-03-31,86,486,30.12,1,0,1,0,2,31,3,2024,465.94116,True
8981,2024-11-13,42,496,98.53,1,1,0,2,2,13,11,2024,465.4866,True
1774,2024-05-04,99,465,96.82,1,0,1,1,0,4,5,2024,464.82062,True
7603,2024-02-26,4,482,8.98,0,1,1,0,0,26,2,2024,463.46033,True
3777,2024-12-23,53,484,16.95,1,0,0,0,0,23,12,2024,462.39938,True
3848,2024-01-08,2,475,7.89,1,1,1,2,1,8,1,2024,462.3555,True
7743,2024-06-05,76,484,11.04,0,1,2,2,0,5,6,2024,461.68167,True
4411,2024-02-01,35,272,98.4,1,1,2,1,0,1,2,2024,460.17935,True
4533,2024-02-29,36,490,96.99,0,0,0,2,0,29,2,2024,459.8903,True
3900,2024-05-27,71,464,99.59,1,1,1,0,0,27,5,2024,459.76633,True
3504,2024-11-29,95,480,88.0,0,1,1,2,2,29,11,2024,459.13226,True
6461,2024-02-07,69,487,75.35,1,0,1,2,1,7,2,2024,458.9351,True
6590,2024-01-26,5,496,89.08,0,0,2,2,1,26,1,2024,458.42294,True
3139,2024-03-03,76,487,7.27,1,0,1,0,1,3,3,2024,458.39603,True
1805,2024-06-09,42,499,88.44,1,0,0,1,0,9,6,2024,458.21332,True
9965,2024-03-23,19,479,97.31,1,0,1,1,0,23,3,2024,457.30295,True
4927,2024-12-14,30,484,96.19,0,0,1,1,2,14,12,2024,457.24576,True
4123,2024-09-18,78,492,99.87,1,1,2,0,1,18,9,2024,456.9564,True
4111,2024-04-04,9,465,70.46,1,0,1,2,2,4,4,2024,456.43994,True
8556,2024-11-03,3,469,28.08,1,0,2,2,0,3,11,2024,456.11786,True
2356,2024-03-01,77,98,8.13,0,0,0,0,0,1,3,2024,455.46887,True
4328,2024-07-08,51,499,96.67,1,0,2,0,0,8,7,2024,454.60422,True
1253,2024-02-05,77,218,91.65,0,1,0,0,1,5,2,2024,453.46234,True
7637,2024-01-19,98,480,78.0,1,1,1,2,2,19,1,2024,453.34335,True
4559,2024-11-15,98,499,36.84,1,1,1,1,0,15,11,2024,453.19193,True
6648,2024-11-07,99,487,26.99,0,1,0,0,0,7,11,2024,451.5875,True
7710,2024-12-06,4,470,85.28,0,1,2,2,1,6,12,2024,451.50784,True
8981,2024-03-03,6,471,48.39,0,0,1,0,2,3,3,2024,451.30136,True
6027,2024-03-06,30,485,87.26,0,0,2,1,1,6,3,2024,450.68536,True
4860,2024-08-15,97,458,17.02,0,0,0,1,2,15,8,2024,450.5659,True
7101,2024-06-23,36,481,5.66,1,0,0,1,1,23,6,2024,450.5048,True
7885,2024-01-01,31,492,77.06,1,1,1,1,2,1,1,2024,449.91858,True
3529,2024-04-25,86,461,9.2,0,1,0,1,0,25,4,2024,449.9183,True
9210,2024-04-26,52,487,14.2,1,0,0,1,0,26,4,2024,449.44638,True
2050,2024-06-14,94,490,97.14,1,0,0,2,2,14,6,2024,449.20453,True
8819,2024-12-28,1,453,93.74,1,0,1,1,1,28,12,2024,449.18744,True
8646,2024-03-17,78,496,96.77,0,1,2,1,1,17,3,2024,448.30432,True
9516,2024-01-02,21,499,51.95,0,0,0,1,2,2,1,2024,447.79028,True
5464,2024-02-26,91,487,34.27,0,0,2,1,2,26,2,2024,447.6599,True
7104,2024-01-02,18,475,86.55,0,1,1,2,1,2,1,2024,447.6511,True
6070,2024-01-29,94,481,16.4,0,1,0,1,2,29,1,2024,447.6471,True
4624,2024-02-28,54,470,12.78,0,0,1,2,1,28,2,2024,447.10114,True
7063,2024-04-28,97,496,72.91,0,0,1,2,1,28,4,2024,446.51282,True
4832,2024-12-22,98,459,44.47,1,0,2,1,2,22,12,2024,446.224,True
7166,2024-12-05,66,460,76.13,1,1,0,0,0,5,12,2024,445.28745,True
6919,2024-09-08,5,499,78.21,1,1,2,1,2,8,9,2024,445.01538,True
1075,2024-02-01,8,496,60.44,1,1,0,1,2,1,2,2024,444.04022,True
4936,2024-03-28,21,465,8.42,0,1,1,1,2,28,3,2024,444.00296,True
9549,2024-09-01,99,448,24.55,0,0,0,1,1,1,9,2024,443.53766,True
1588,2024-10-07,68,499,91.62,1,1,2,2,0,7,10,2024,443.32336,True
3241,2024-12-06,60,473,98.15,0,0,0,1,1,6,12,2024,443.08154,True
5934,2024-12-27,48,477,30.74,1,0,2,1,2,27,12,2024,442.94247,True
3979,2024-01-02,88,469,95.44,0,0,2,1,1,2,1,2024,442.54257,True
4587,2024-06-11,76,430,97.91,1,0,2,2,1,11,6,2024,441.83606,True
4644,2024-08-30,64,479,16.82,1,0,1,1,2,30,8,2024,441.36987,True
5406,2024-01-11,67,429,24.83,1,1,1,0,1,11,1,2024,441.1016,True
3301,2024-04-19,89,474,97.82,0,1,0,2,0,19,4,2024,440.59344,True
6324,2024-08-31,92,478,18.13,0,1,0,0,1,31,8,2024,440.13168,True
1569,2024-12-29,71,429,7.29,0,0,2,0,2,29,12,2024,440.12936,True
4412,2024-04-05,19,486,51.45,1,1,0,2,1,5,4,2024,439.7023,True
7889,2024-10-28,3,470,11.5,1,0,2,0,2,28,10,2024,439.3808,True
4429,2024-10-25,62,465,30.67,0,0,1,2,0,25,10,2024,439.03366,True
